,ticker_x,tradeDate_x,expirDate_x,dte_x,strike_x,stockPrice_x,callVolume_x,callOpenInterest_x,callBidSize_x,callAskSize_x,putVolume_x,putOpenInterest_x,putBidSize_x,putAskSize_x,callBidPrice_x,callValue_x,callAskPrice_x,putBidPrice_x,putValue_x,putAskPrice_x,callBidIv_x,callMidIv_x,callAskIv_x,smvVol_x,putBidIv_x,putMidIv_x,putAskIv_x,residualRate_x,delta_x,gamma_x,theta_x,vega_x,rho_x,phi_x,driftlessTheta_x,callSmvVol_x,putSmvVol_x,extSmvVol_x,extCallValue_x,extPutValue_x,spotPrice_x,quoteDate_x,updatedAt_x,snapShotEstTime_x,snapShotDate_x,expiryTod_x,tickerId_x,monthId_x,sym,ticker_y,tradeDate_y,expirDate_y,dte_y,strike_y,stockPrice_y,callVolume_y,callOpenInterest_y,callBidSize_y,callAskSize_y,putVolume_y,putOpenInterest_y,putBidSize_y,putAskSize_y,callBidPrice_y,callValue_y,callAskPrice_y,putBidPrice_y,putValue_y,putAskPrice_y,callBidIv_y,callMidIv_y,callAskIv_y,smvVol_y,putBidIv_y,putMidIv_y,putAskIv_y,residualRate_y,delta_y,gamma_y,theta_y,vega_y,rho_y,phi_y,driftlessTheta_y,callSmvVol_y,putSmvVol_y,extSmvVol_y,extCallValue_y,extPutValue_y,spotPrice_y,quoteDate_y,updatedAt_y,snapShotEstTime_y,snapShotDate_y,expiryTod_y,tickerId_y,monthId_y
0,SPY,2022-09-12,2022-09-16,5,350.0,410.39,4.0,447.0,25.0,25.0,4732.0,-80924.0,927.0,12424.0,60.38,60.589027,60.59,0.04,0.049461,0.05,0.783234,0.842626,0.902018,0.339,0.590227,0.597715,0.605203,-0.1172671371105788,0.9999999999999988,-8.367758597847586e-15,3.578189918996475e-13,1.999999614845446e-05,0.0,0.0,3.5639910341152833e-13,0.415467,0.335617,0.370542,60.39,6.6e-05,410.39,2022-09-12T19:20:46Z,2022-09-12T19:20:59Z,1521,2022-09-12T19:21:00Z,pm,109820,3,SPY2022-09-16350.0,SPY,2022-09-06,2022-09-16,11,350.0,393.43,1,482,32,50,2680,-83115,4043,13261,43.72,43.969213638368224,44.0,0.3,0.3086230907364894,0.31,0.4475087115584205,0.4680462811590171,0.4885838507596137,0.38,0.3756972685391361,0.3767586269252742,0.3778199853114122,-0.0597491503890645,0.9962370228325096,0.002398379972211,-0.0057160704408268,0.0077746577166401,0.0059584391074619,-0.0065312601615228,-0.0102762036015448,0.4489855008980026,0.3760489629542947,0.3729308701911691,43.45015849221733,0.2867285038607758,393.43,2022-09-06T15:59:54Z,2022-09-06T16:00:06Z,1200,2022-09-06T16:00:01Z,pm,109820,6
1,SPY,2022-09-12,2022-09-16,5,351.0,410.39,0.0,120.0,25.0,25.0,222.0,-4317.0,4886.0,12642.0,59.38,59.589054,59.59,0.04,0.04948,0.05,0.771437,0.830061,0.888684,0.339,0.580542,0.588009,0.595476,-0.1172671371105788,0.9999999999999988,-8.367758597847586e-15,3.578189918996475e-13,1.999999614845446e-05,0.0,0.0,3.5639910341152833e-13,0.415467,0.335617,0.370542,59.39,9.3e-05,410.39,2022-09-12T19:20:46Z,2022-09-12T19:20:59Z,1521,2022-09-12T19:21:00Z,pm,109820,3,SPY2022-09-16351.0,SPY,2022-09-06,2022-09-16,11,351.0,393.43,0,120,25,25,110,-3739,732,13441,42.73,42.96498711491563,43.01,0.32,0.3274999416971608,0.33,0.443429093177181,0.463243312299843,0.4830575314225049,0.376,0.3721070834624864,0.3731672385184282,0.3742273935743702,-0.0597491503890645,0.99376944250082,0.0028901849334655,-0.0132859269051749,0.0113944159624494,0.0086759173139282,-0.0094862389330584,-0.0198706372679034,0.443553194181604,0.3720332852400086,0.3698993080359989,42.4593607448409,0.3092020346648072,393.43,2022-09-06T15:59:54Z,2022-09-06T16:00:06Z,1200,2022-09-06T16:00:01Z,pm,109820,6
2,SPY,2022-09-12,2022-09-16,5,352.0,410.39,20.0,273.0,25.0,25.0,103.0,-35423.0,5544.0,12369.0,58.38,58.58908,58.59,0.04,0.0495,0.05,0.759667,0.817521,0.875375,0.339,0.570881,0.578327,0.585772,-0.1172671371105788,0.9999999999999988,-8.367758597847586e-15,3.578189918996475e-13,1.999999614845446e-05,0.0,0.0,3.5639910341152833e-13,0.415467,0.335617,0.370542,58.39,0.000133,410.39,2022-09-12T19:20:46Z,2022-09-12T19:20:59Z,1521,2022-09-12T19:21:00Z,pm,109820,3,SPY2022-09-16352.0,SPY,2022-09-06,2022-09-16,11,352.0,393.43,0,273,32,50,34,-28284,8723,12285,41.75,41.97436020372734,42.03,0.33,0.3458184057829951,0.35,0.4346017054033389,0.4541880643560905,0.473774423308842,0.371,0.3685212973249864,0.3695121461450565,0.3705029949651265,-0.0597491503890645,0.9906207777286336,0.0033246860002921,-0.0160853918287945,0.0144430136471388,0.0097441644417907,-0.0106287813390534,-0.023438900192399,0.4352507483805953,0.3676077583343468,0.3666995158707185,41.46956647364369,0.3308248200098515,393.43,2022-09-06T15:59:54Z,2022-09-06T16:00:06Z,1200,2022-09-06T16:00:01Z,pm,109820,6
3,SPY,2022-09-12,2022-09-16,5,353.0,410.39,140.0,753.0,25.0,25.0,0.0,-6637.0,6592.0,11096.0,57.38,57.589107,57.59,0.04,0.049519,0.05,0.747928,0.805008,0.862088,0.339,0.561245,0.568669,0.576092,-0.1172671371105788,0.9999999999999988,-8.367758597847586e-15,3.578189918996475e-13,1.999999614845446e-05,0.0,0.0,3.5639910341152833e-13,0.415467,0.335617,0.370542,57.39,0.000179,410.39,2022-09-12T19:20:46Z,2022-09-12T19:20:59Z,1521,2022-09-12T19:21:00Z,pm,109820,3,SPY2022-09-16353.0,SPY,2022-09-06,2022-09-16,11,353.0,393.43,0,753,25,25,55,-6720,169,13651,40.76,40.987079750082096,41.04,0.36,0.3650172668737624,0.37,0.4065073616425317,0.4283591060698519,0.4502108504971722,0.367,0.3645704515588239,0.3654545549152858,0.3663386582717476,-0.0597491503890645,0.9870485055520656,0.0038361595606543,-0.0230664641173415,0.020575771710866,0.014657366430475,-0.0158356308189255,-0.0339102554777797,0.4244911590748781,0.3639170076059764,0.3633994074966796,40.481213836598656,0.3547465759442393,393.43,2022-09-06T15:59:54Z,2022-09-06T16:00:06Z,1200,2022-09-06T16:00:01Z,pm,109820,6
4,SPY,2022-09-12,2022-09-16,5,354.0,410.39,120.0,934.0,25.0,25.0,2.0,-3785.0,7336.0,9544.0,56.38,56.589133,56.59,0.04,0.049538,0.05,0.736217,0.792525,0.848834,0.339,0.551633,0.559035,0.566436,-0.1172671371105788,0.9999999999999988,-8.367758597847586e-15,3.578189918996475e-13,1.999999614845446e-05,0.0,0.0,3.5639910341152833e-13,0.415467,0.335617,0.370542,56.39,0.00025,410.39,2022-09-12T19:20:46Z,2022-09-12T19:20:59Z,1521,2022-09-12T19:21:00Z,pm,109820,3,SPY2022-09-16354.0,SPY,2022-09-06,2022-09-16,11,354.0,393.43,0,934,25,25,365,-4151,1436,12454,39.78,40.02633345118604,40.06,0.38,0.38684210231537,0.39,0.4040515460371908,0.4198656103943075,0.4356796747514241,0.364,0.3600642025935607,0.3609471231136195,0.3618300436336782,-0.0597491503890645,0.9837132190143584,0.0041115749046625,-0.0298838213523088,0.0239319187712841,0.0169570339103729,-0.0184458655207824,-0.0425989720844218,0.4216120401686255,0.3605105097865138,0.3600784450962226,39.4948774719117,0.3814264670942488,393.43,2022-09-06T15:59:54Z,2022-09-06T16:00:06Z,1200,2022-09-06T16:00:01Z,pm,109820,6
5,SPY,2022-09-12,2022-09-16,5,355.0,410.39,40.0,1068.0,25.0,25.0,1834.0,-105379.0,7657.0,5168.0,55.39,55.58916,55.59,0.04,0.049558,0.05,0.724535,0.780072,0.83561,0.339,0.542044,0.549443,0.556841,-0.1172671371105788,0.9999999999999988,-8.367758597847586e-15,3.578189918996475e-13,1.999999614845446e-05,0.0,0.0,3.5639910341152833e-13,0.415467,0.335617,0.370542,55.39,0.000352,410.39,2022-09-12T19:20:46Z,2022-09-12T19:20:59Z,1521,2022-09-12T19:21:00Z,pm,109820,3,SPY2022-09-16355.0,SPY,2022-09-06,2022-09-16,11,355.0,393.43,1,1069,32,50,1932,-98293,5611,7939,38.8,39.0316049778614,39.08,0.4,0.4117812526515856,0.41,0.4015341706446116,0.4172466197062052,0.4329590687677989,0.36,0.3539023193784297,0.3547845296163909,0.3556667398543522,-0.0597491503890645,0.9797322982633792,0.0043238393903902,-0.0347688374671665,0.0294165471291592,0.018317725983746,-0.0199000228503082,-0.0484560863573564,0.4165074363154536,0.3562722672956813,0.355573446202491,38.50610659905464,0.4013353948280236,393.43,2022-09-06T15:59:54Z,2022-09-06T16:00:06Z,1200,2022-09-06T16:00:01Z,pm,109820,6
6,SPY,2022-09-12,2022-09-16,5,356.0,410.39,0.0,1400.0,25.0,25.0,8.0,-15420.0,7556.0,3796.0,54.39,54.599186,54.6,0.04,0.049574,0.05,0.71288,0.767648,0.822415,0.339,0.532479,0.539742,0.547006,-0.1172671371105788,0.9999999999999988,-8.367758597847586e-15,3.578189918996475e-13,1.999999614845446e-05,0.0,0.0,3.5639910341152833e-13,0.415467,0.335617,0.370542,54.39,0.00047,410.39,2022-09-12T19:20:46Z,2022-09-12T19:20:59Z,1521,2022-09-12T19:21:00Z,pm,109820,3,SPY2022-09-16356.0,SPY,2022-09-06,2022-09-16,11,356.0,393.43,0,1400,25,25,625,-9110,735,12004,37.82,38.04648433344158,38.1,0.43,0.4344978285231026,0.44,0.3975375285454351,0.4130270758094602,0.4285166230734852,0.357,0.352788817305353,0.3536208728164665,0.3544529283275799,-0.0597491503890645,0.9754807863936787,0.0046448929450882,-0.0426993632852225,0.0343960727408843,0.0222116557875069,-0.0240823178085902,-0.0592240012258452,0.4129579670136581,0.3528532772516136,0.3522865644887505,37.52254663514847,0.4281111470367649,393.43,2022-09-06T15:59:54Z,2022-09-06T16:00:06Z,1200,2022-09-06T16:00:01Z,pm,109820,6
7,SPY,2022-09-12,2022-09-16,5,357.0,410.39,0.0,1375.0,25.0,25.0,4.0,-5993.0,7476.0,1411.0,53.39,53.599206,53.6,0.04,0.049574,0.05,0.701253,0.756855,0.812456,0.339,0.537159,0.542857,0.548555,-0.1172671371105788,0.9999999999999988,-8.367758597847586e-15,3.578189918996475e-13,1.999999614845446e-05,0.0,0.0,3.5639910341152833e-13,0.415467,0.335617,0.370542,53.39,0.000637,410.39,2022-09-12T19:20:46Z,2022-09-12T19:20:59Z,1521,2022-09-12T19:21:00Z,pm,109820,3,SPY2022-09-16357.0,SPY,2022-09-06,2022-09-16,11,357.0,393.43,0,1382,25,25,667,-4446,430,12130,36.84,37.05829001391532,37.12,0.46,0.4663115424360877,0.47,0.3937900293632145,0.4084551728526763,0.423120316342138,0.354,0.3490516280526906,0.3497930022367197,0.3505343764207488,-0.0597491503890645,0.971365082679053,0.004952329328933,-0.049884000595079,0.0425141224419271,0.0246771066453966,-0.0267100105923664,-0.0681665295577871,0.4086051429032475,0.349666792344669,0.3476432743388876,36.53671191862806,0.4515119025869695,393.43,2022-09-06T15:59:54Z,2022-09-06T16:00:06Z,1200,2022-09-06T16:00:01Z,pm,109820,6
8,SPY,2022-09-12,2022-09-16,5,358.0,410.39,1.0,726.0,25.0,25.0,24.0,-8190.0,839.0,12910.0,52.39,52.599232,52.6,0.05,0.059594,0.06,0.700832,0.750071,0.79931,0.339,0.527336,0.533016,0.538697,-0.1172671371105788,0.9999999999999988,-8.367758597847586e-15,3.578189918996475e-13,1.999999614845446e-05,0.0,0.0,3.5639910341152833e-13,0.415467,0.335617,0.370542,52.39,0.000876,410.39,2022-09-12T19:20:46Z,2022-09-12T19:20:59Z,1521,2022-09-12T19:21:00Z,pm,109820,3,SPY2022-09-16358.0,SPY,2022-09-06,2022-09-16,11,358.0,393.43,0,729,50,50,1161,-8131,730,11339,35.87,36.082214879782846,36.15,0.49,0.497102332331363,0.5,0.3892590514451176,0.4040858812786485,0.4189127111121794,0.35,0.3444664684971373,0.3452073858017097,0.345948303106282,-0.0597491503890645,0.9668055387675653,0.0052297474908097,-0.0558978594255315,0.0451679678556087,0.0263133836087561,-0.0284288563099758,-0.0753053062489396,0.4039053677590657,0.3453067715505786,0.3415697585236134,35.54587270666028,0.4664713764083971,393.43,2022-09-06T15:59:54Z,2022-09-06T16:00:06Z,1200,2022-09-06T16:00:01Z,pm,109820,6
9,SPY,2022-09-12,2022-09-16,5,359.0,410.39,0.0,1411.0,25.0,25.0,223.0,-7183.0,5016.0,12334.0,51.39,51.599259,51.6,0.05,0.059614,0.06,0.688905,0.737549,0.786194,0.339,0.517537,0.523199,0.528862,-0.1172671371105788,0.9999999999999988,-8.367758597847586e-15,3.578189918996475e-13,1.999999614845446e-05,0.0,0.0,3.5639910341152833e-13,0.415467,0.335617,0.370542,51.39,0.001162,410.39,2022-09-12T19:20:46Z,2022-09-12T19:20:59Z,1521,2022-09-12T19:21:00Z,pm,109820,3,SPY2022-09-16359.0,SPY,2022-09-06,2022-09-16,11,359.0,393.43,0,1411,32,50,1010,-6062,4071,5760,34.9,35.10489910663129,35.18,0.52,0.527872390973843,0.53,0.3857390404562021,0.3998145971364363,0.4138901538166704,0.346,0.3408331999732438,0.3414643816557984,0.3420955633383531,-0.0597491503890645,0.961986202620477,0.005584784359679,-0.0641209534625413,0.0510104252718279,0.0292453842983337,-0.031553704248068,-0.085620134990483,0.3991674980127814,0.3416784703588652,0.3368642228257498,34.56147623539906,0.4906113323406075,393.43,2022-09-06T15:59:54Z,2022-09-06T16:00:06Z,1200,2022-09-06T16:00:01Z,pm,109820,6
